Proposta;Número da Requisição;Aplicação;Classe do Material;Código do produto;Descrição Curta do Produto;Descrição Adicional;Quantidade requisitada;Data necessária;Código do Produto do Fornecedor;Produto;Descrição Técnica;Quantidade do fornecedor;Fornecedor;Fabricante;Modelo;Razão social;CNPJ;Status de cadastro;Endereço;Nome do contato comercial;Telefones do contato comercial;E-mail do contato comercial;Dados bancários;Nome contato de faturamento;Telefones do contato de faturamento;E-mail do contato de faturamento;Data de entrega;Prazo de pagamento;Valor Orçado Unitário (R$);Preço unitário líquido (R$);Preço unitário com impostos (R$);Condição de pagamento;1a Rodada de Negociação;Motivo da analise;Aprovada por Humano
P28;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Freitas Campos Ltda.;93.748.620/0001-94;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;58 dias;150;102.06;102.06;reajustável;Valido;Está dentro da meta de saving;Sim
P29;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Teixeira;59.382.467/0001-96;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;61 dias;150;109.53;109.53;reajustável;Valido;Está dentro da meta de saving;Sim
P30;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;da Luz Rezende S/A;81.907.463/0001-33;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;61 dias;150;106.66;106.66;reajustável;Valido;Está dentro da meta de saving;Sim
P31;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Duarte;69.547.082/0001-95;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;61 dias;150;102.83;102.83;reajustável;Valido;Está dentro da meta de saving;Sim
P32;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Garcia Monteiro e Filhos;27.651.893/0001-91;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;63 dias;150;108.37;108.37;reajustável;Valido;Está dentro da meta de saving;Sim
P33;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Sousa Martins S.A.;85.379.210/0001-95;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;51 dias;150;101.64;101.64;reajustável;Valido;Está dentro da meta de saving;Sim
P34;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Guerra - ME;08.732.564/0001-20;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;55 dias;150;109.4;109.4;reajustável;Valido;Está dentro da meta de saving;Sim
P35;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Cavalcante;50.983.176/0001-89;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;61 dias;150;109.27;109.27;reajustável;Valido;Está dentro da meta de saving;Sim
P36;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Brito Castro S.A.;12.760.489/0001-89;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;55 dias;150;108.43;108.43;reajustável;Valido;Está dentro da meta de saving;Sim
P37;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;da Mata;79.653.248/0001-01;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;59 dias;150;100.34;100.34;reajustável;Valido;Está dentro da meta de saving;Sim
P38;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Correia - ME;02.758.496/0001-92;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;51 dias;150;107.33;107.33;reajustável;Valido;Está dentro da meta de saving;Sim
P39;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Pinto;75.204.963/0001-06;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;57 dias;150;107.63;107.63;reajustável;Valido;Está dentro da meta de saving;Sim
P40;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;da Rosa;98.637.452/0001-83;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;55 dias;150;105.66;105.66;reajustável;Valido;Está dentro da meta de saving;Sim
P141;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Fornecedor Inválido 1 Ltda;91.214.125/5506-41;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;11/09/2025;55 dias;150;127.27;133.97;reajustável;Invalido;"Preço acima da meta de saving; Data de entrega muito distante";Não
P142;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Fornecedor Inválido 2 Ltda;23.792.858/9935-21;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;11/09/2025;55 dias;150;156.93;165.19;reajustável;Invalido;"Preço acima da meta de saving; Data de entrega muito distante";Não
P143;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Fornecedor Inválido 3 Ltda;14.130.195/4582-;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;11/09/2025;55 dias;150;150.06;157.96;reajustável;Invalido;"Preço acima da meta de saving; Data de entrega muito distante";Não
P144;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Fornecedor Inválido 4 Ltda;13.674.303/9928-63;Inativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;11/09/2025;55 dias;150;127.05;133.74;reajustável;Invalido;"Preço acima da meta de saving; Fornecedor inativo; Data de entrega muito distante";Não
P145;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Fornecedor Inválido 5 Ltda;85.384.928/1106-30;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;11/09/2025;180 dias;150;165.62;174.34;reajustável;Invalido;"Preço acima da meta de saving; Prazo de pagamento excessivo; Data de entrega muito distante";Não
P146;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Fornecedor Inválido 6 Ltda;53.384.259/4527-;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;25/11/2025;55 dias;150;117.51;123.69;reajustável;Invalido;"Preço acima da meta de saving; Data de entrega muito distante";Não
P147;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Fornecedor Inválido 7 Ltda;58.199.467/6635-87;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;11/09/2025;55 dias;150;130.61;137.48;reajustável;Invalido;"Preço acima da meta de saving; Data de entrega muito distante";Não
P148;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Fornecedor Inválido 8 Ltda;15.847.570/9785-25;Inativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;11/09/2025;55 dias;150;187.82;197.71;reajustável;Invalido;"Preço acima da meta de saving; Fornecedor inativo; Data de entrega muito distante";Não
P149;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Fornecedor Inválido 9 Ltda;58.180.665/5803-;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;11/09/2025;55 dias;150;159.19;167.57;reajustável;Invalido;"Preço acima da meta de saving; Data de entrega muito distante";Não
P150;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Fornecedor Inválido 10 Ltda;56.691.296/2139-15;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;11/09/2025;180 dias;150;162.65;171.21;reajustável;Invalido;"Preço acima da meta de saving; Prazo de pagamento excessivo; Data de entrega muito distante";Não
